|     | cinsiyetiniz   |   yaşınız | medenidurum   | mezuniyet   | yaşadığınyer   | bölge       | mesleğiseçmenedeni      | meslekideneyimsüresi   | bakışaçısı      | yurtdışındabulundunuzmu   | bakımverdinizmi   | bakımvermekistermisiniz   | yabancıdilbiliyormusunuz   | kültürkonusundaeğitimaldınızmı   | yurtdışındaçalışmakistermisiniz   | sempozyumkongrekatıldınızmı   | zeka1                  | zeka2                   | zeka3                  | zeka4                   | zeka5                   | zeka6                   | zeka7                  | zeka8                  | zeka9                  | zeka10                 | zeka11                  | zeka12                 | zeka13                 | zeka14                  | zeka15                 | zeka16                  | zeka17                  | zeka18                  | zeka19                 | zeka20                 | duyarlılık1             | duyarlılık2             | duyarlılık3            | duyarlılık4             | duyarlılık5            | duyarlılık6            | duyarlılık7             | duyarlılık8            | duyarlılık9             | duyarlılık10           | duyarlılık11           | duyarlılık12            | duyarlılık13           | duyarlılık14           | duyarlılık15            | duyarlılık16           | duyarlılık17           | duyarlılık18            | duyarlılık19            | duyarlılık20            | duyarlılık21           | duyarlılık22            | duyarlılık23           | duyarlılık24           |
| 109 | kadın          |        33 | bekar         | lisansüstü  | il             | karadeniz   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | hayır                            | evet                              | hayır                         | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum            | katılıyorum             | kararsızım              | kararsızım             | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | karasızım               | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | katılıyorum             | karasızım              | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
| 110 | erkek          |        27 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 0-2 yıl                | olumlu değişti  | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | kararsızım             | katılıyorum             | katılmıyorum           | katılıyorum             | katılmıyorum            | kesinlikle katılmıyorum | kararsızım             | katılmıyorum           | kararsızım             | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | katılmıyorum           | kararsızım              | katılmıyorum           | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            |
| 111 | erkek          |        30 | evli          | ortaöğretim | il             | ege-marmara | kolay iş bulma          | 11 yıl ve üzeri        | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kararsızım             | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 112 | kadın          |        25 | bekar         | lisansüstü  | ilçe           | içanadolu   | diğer                   | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | kararsızım             | kararsızım              | kararsızım             | kararsızım             |
| 113 | kadın          |        28 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
| 114 | kadın          |        28 | evli          | önlisans    | il             | içanadolu   | ailemin isteği          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
| 115 | erkek          |        46 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | değişmedi       | evet                      | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum           | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            |
| 116 | kadın          |        25 | evli          | önlisans    | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılıyorum            | kesinlikle katılıyorum  | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 117 | kadın          |        26 | bekar         | lisans      | il             | içanadolu   | ailemin isteği          | 3-5 yıl                | değişmedi       | evet                      | evet              | evet                      | hayır                      | evet                             | hayır                             | hayır                         | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | kararsızım             | kararsızım              | kesinlikle katılmıyorum | kararsızım             | katılıyorum             | karasızım              | kararsızım             | katılmıyorum            | kesinlikle katılıyorum | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kararsızım              | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
| 118 | erkek          |        31 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | hayır                         | kararsızım             | katılmıyorum            | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum            | kararsızım             | karasızım               | kararsızım              | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             | kesinlikle katılıyorum  | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | katılıyorum             | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kararsızım              | katılıyorum             | kararsızım             | katılmıyorum            | katılmıyorum           | katılmıyorum           |
| 119 | kadın          |        26 | bekar         | lisans      | il             | ege-marmara | istediğim meslek olması | 0-2 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | evet                             | hayır                             | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum           | karasızım               | kararsızım              | katılmıyorum            | kararsızım             | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | karasızım              | katılıyorum            | katılıyorum             | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
| 120 | kadın          |        36 | evli          | lisans      | il             | içanadolu   | istediğim meslek olması | 11 yıl ve üzeri        | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | kararsızım              | kararsızım             | kararsızım              | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | kararsızım              | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | katılmıyorum            | katılmıyorum           | kararsızım              | katılmıyorum           | kararsızım             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
| 121 | kadın          |        24 | evli          | önlisans    | ilçe           | ege-marmara | ailemin isteği          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım             |
| 122 | kadın          |        51 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             |
| 123 | kadın          |        29 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım              | kararsızım             | katılmıyorum           | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum           | karasızım               | kararsızım              | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | kararsızım              | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum            | katılıyorum             | kararsızım             | kararsızım              | katılıyorum            | kararsızım             |
| 124 | erkek          |        30 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | katılmıyorum           | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kesinlikle katılıyorum | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
| 125 | erkek          |        27 | bekar         | önlisans    | il             | karadeniz   | istediğim meslek olması | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | evet                          | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 126 | kadın          |        38 | evli          | lisansüstü  | il             | ege-marmara | diğer                   | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | evet                             | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum           | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | kararsızım              | kararsızım             | kararsızım              | karasızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kararsızım             |
| 127 | erkek          |        27 | bekar         | lisans      | il             | ege-marmara | ailemin isteği          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | kararsızım             | kararsızım              | katılmıyorum            | katılıyorum             | katılmıyorum           | kararsızım             | katılmıyorum           | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
| 128 | erkek          |        34 | evli          | önlisans    | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | değişmedi       | evet                      | evet              | hayır                     | hayır                      | hayır                            | hayır                             | evet                          | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | kararsızım             | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | kararsızım             | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum           | kararsızım             | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılmıyorum           |
| 129 | erkek          |        25 | bekar         | ortaöğretim | il             | içanadolu   | istediğim meslek olması | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | evet                             | evet                              | hayır                         | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım             | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım             | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | katılıyorum             | kararsızım             | katılmıyorum            | katılmıyorum           | katılıyorum            | kesinlikle katılıyorum  | katılmıyorum           | kesinlikle katılmıyorum | kararsızım             | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum  | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 130 | erkek          |        31 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | değişmedi       | hayır                     | evet              | hayır                     | evet                       | hayır                            | evet                              | evet                          | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum  | kararsızım              | kararsızım             | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | katılıyorum            | karasızım               | kesinlikle katılıyorum  | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | kararsızım             | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | katılıyorum             | kararsızım              | katılıyorum            | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 131 | kadın          |        45 | evli          | lisans      | il             | karadeniz   | istediğim meslek olması | 11 yıl ve üzeri        | olumsuz değişti | evet                      | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum           | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum             | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            |
| 132 | erkek          |        31 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | hayır                             | hayır                         | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılmıyorum           | katılıyorum             | katılıyorum             | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | kararsızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım             | kararsızım              | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            |
| 133 | erkek          |        30 | evli          | ortaöğretim | il             | ege-marmara | kolay iş bulma          | 11 yıl ve üzeri        | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kararsızım             | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
| 134 | erkek          |        30 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | kararsızım             | karasızım               | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | katılmıyorum           | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | kesinlikle katılıyorum | katılmıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            |
| 135 | kadın          |        27 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | katılmıyorum            | kararsızım             | katılmıyorum           | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılıyorum  | katılıyorum            | karasızım               | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | kararsızım              | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | katılmıyorum            | kararsızım             | kararsızım             |
